update_time,loss/loss,loss/actor_loss,loss/critic_loss,loss/entropy_loss,value/logprob,value/old_action_logprob,info/approx_kl,value/value,value/return,value/advantage,value/reward,grad/grad_clipped
0,0.24426472,-8.940697e-08,0.5794774,4.575928,-4.5747857,-4.5747857,-7.450581e-09,-0.043285906,0.63775325,9.313226e-08,0.15045178,3.4327667
1,0.049899317,-0.002269622,0.19522566,4.5737424,-4.5799212,-4.574203,0.0057179257,0.3678683,0.64076066,-4.4703484e-08,0.15045178,1.4790652
2,0.032666277,-0.00807533,0.17225718,4.570709,-4.576071,-4.5718646,0.004206255,0.7754258,0.5942084,8.8475645e-09,0.15045178,1.3329356
3,0.03990728,0.014546498,0.14148846,4.5688868,-4.5843925,-4.573246,0.011146743,0.8354422,0.65366405,2.6077032e-08,0.15045178,1.2387996
4,0.017546412,-0.008685419,0.14329153,4.5707603,-4.5753384,-4.57501,0.0003290251,0.7659414,0.6247741,-7.450581e-09,0.15045178,0.96877307
5,0.030381097,0.008738484,0.1339334,4.5659337,-4.573881,-4.569754,0.0041272193,0.6562224,0.5578207,-7.450581e-09,0.15045178,0.76609284
6,0.011684122,0.00078935176,0.11259136,4.5705614,-4.5750613,-4.5742493,0.0008122362,0.5123744,0.5864102,0.0,0.15045178,0.46636167
7,0.0020310306,-0.0031016842,0.10106057,4.5709553,-4.5704856,-4.5728235,-0.0023381524,0.43778715,0.6318699,1.2572855e-08,0.15045178,0.9734722
8,-0.010909536,-0.005158279,0.07928681,4.571124,-4.5743074,-4.57224,0.0020675883,0.44415078,0.57586086,-7.450581e-09,0.15045178,0.670259
9,-0.008780174,0.0025630556,0.0680922,4.5707226,-4.5758038,-4.5722723,0.0035315342,0.5109545,0.61028534,-3.7252903e-09,0.15045178,0.53303176
10,-0.00903376,0.00672053,0.059362687,4.5732617,-4.5751433,-4.574305,0.0008380152,0.6289757,0.6010621,-3.0733645e-08,0.15045178,0.1700044
11,-0.01324379,0.0015279893,0.061362304,4.57442,-4.5739923,-4.5745173,-0.0005248971,0.72203547,0.632492,1.8626451e-09,0.15045178,0.5002741
12,0.0029127102,0.0040641846,0.08854081,4.5730405,-4.5734105,-4.572689,0.00072163343,0.7377591,0.5761565,1.1175871e-08,0.15045178,0.8998394
13,-0.016211886,-0.0002768971,0.059023574,4.574513,-4.5723248,-4.574874,-0.0025491677,0.7088376,0.63522375,0.0,0.15045178,0.39045691
14,-0.015132601,-0.00081633125,0.062134854,4.5713377,-4.57183,-4.5701094,0.001720503,0.60952777,0.55442756,1.7695129e-08,0.15045178,0.29909557
